,Player,Name,Nation,Pos,Squad,season
911,Gianluca Mancini\5aa53281,MANCINI,it ITA,DF,Roma,2020-2021
912,Rolando Mandragora\c7259b83,MANDRAGORA,it ITA,MF,Torino,2020-2021
913,Kostas Manolas\c707411f,MANOLAS,gr GRE,DF,Napoli,2020-2021
914,Riccardo Marchizza\91d0fabf,MARCHIZZA,it ITA,DF,Spezia,2020-2021
915,Răzvan Marin\7fac99d4,MARIN,ro ROU,MF,Cagliari,2020-2021
916,Marlon\cdf65d12,MARLON,br BRA,DF,Sassuolo,2020-2021
917,Luca Marrone\ea468ea8,MARRONE,it ITA,DF,Crotone,2020-2021
918,Adam Marušić\d4535821,MARUSIC,me MNE,DF,Lazio,2020-2021
919,Andrea Masiello\e0314d87,MASIELLO,it ITA,DF,Genoa,2020-2021
920,Borja Mayoral\64e8ed6d,MAYORAL,es ESP,FW,Roma,2020-2021
921,Weston McKennie\01c3aff5,MCKENNIE,us USA,MF,Juventus,2020-2021
922,Dries Mertens\89b2c8a9,MERTENS,be BEL,FWMF,Napoli,2020-2021
923,Junior Messias\f49c4ae9,MESSIAS,br BRA,MFFW,Crotone,2020-2021
924,Nikola Milenković\bee704fc,MILENKOVIC,rs SRB,DF,Fiorentina,2020-2021
925,Sergej Milinković-Savić\4e6dbac4,MILINKOVIC-SAVIC,rs SRB,MF,Lazio,2020-2021
926,Henrikh Mkhitaryan\dd0daf32,MKHITARYAN,am ARM,FWMF,Roma,2020-2021
927,Álvaro Morata\129af0db,MORATA,es ESP,FW,Juventus,2020-2021
928,Mert Müldür\1295552e,MULDUR,tr TUR,DF,Sassuolo,2020-2021
929,Luis Muriel\eb2fe5b6,MURIEL,co COL,FW,Atalanta,2020-2021
930,Radja Nainggolan\1f9328da,NAINGGOLAN,be BEL,MF,Cagliari,2020-2021
931,Nahitan Nández\95facda1,NANDEZ,uy URU,MFDF,Cagliari,2020-2021
932,Nicolas Nkoulou\93cf32a8,NKOULOU,cm CMR,DF,Torino,2020-2021
933,Bram Nuytinck\e33f36d5,NUYTINCK,nl NED,DF,Udinese,2020-2021
934,M'Bala Nzola\a4948e67,NZOLA,ao ANG,FW,Spezia,2020-2021
935,Pedro Obiang\ba1e04b3,OBIANG,gq EQG,MF,Sassuolo,2020-2021
936,Stefano Okaka\601ef102,OKAKA,it ITA,FW,Udinese,2020-2021
937,Riccardo Orsolini\e14ec482,ORSOLINI,it ITA,FWMF,Bologna,2020-2021
938,Victor Osimhen\8c90fd7a,OSIMHEN,ng NGA,FW,Napoli,2020-2021
939,Yordan Osorio\4d17df3e,OSORIO,ve VEN,DF,Parma,2020-2021
940,Adam Ounas\ed90babd,OUNAS,dz ALG,FWMF,Crotone,2020-2021
941,Rodrigo Palacio\8d8178ac,PALACIO,ar ARG,FW,Bologna,2020-2021
942,Goran Pandev\d711d04f,PANDEV,mk MKD,FWMF,Genoa,2020-2021
943,Mario Pašalić\e599253a,PASALIC,hr CRO,MFFW,Atalanta,2020-2021
944,Patric\f7223718,PATRIC,es ESP,DF,Lazio,2020-2021
945,Leonardo Pavoletti\d37b0350,PAVOLETTI,it ITA,FW,Cagliari,2020-2021
946,Pedro\3ca7254a,PEDRO,es ESP,FWMF,Roma,2020-2021
947,Roberto Pereyra\75f2c59f,PEREYRA,ar ARG,MFFW,Udinese,2020-2021
948,Ivan Perišić\6fe90922,PERISIC,hr CRO,DFFW,Inter,2020-2021
949,Matteo Pessina\780e3631,PESSINA,it ITA,MF,Atalanta,2020-2021
950,Andrea Petagna\03f946ed,PETAGNA,it ITA,FW,Napoli,2020-2021
951,Jacopo Petriccione\909bce7f,PETRICCIONE,it ITA,MF,Crotone,2020-2021
952,Marko Pjaca\2c38b327,PJACA,hr CRO,FWMF,Genoa,2020-2021
953,Tommaso Pobega\55a1cac2,POBEGA,it ITA,MF,Spezia,2020-2021
954,Matteo Politano\5e861944,POLITANO,it ITA,FW,Napoli,2020-2021
955,Erick Pulgar\4611e028,PULGAR,cl CHI,MF,Fiorentina,2020-2021
956,Fabio Quagliarella\ee4f2f3b,QUAGLIARELLA,it ITA,FW,Sampdoria,2020-2021
957,Adrien Rabiot\8794e251,RABIOT,fr FRA,MF,Juventus,2020-2021
958,Ivan Radovanović\023937a9,RADOVANOVIC,rs SRB,DFMF,Genoa,2020-2021
959,Ștefan Radu\53de807a,RADU,ro ROU,DF,Lazio,2020-2021
960,Gastón Ramírez\2c851997,RAMIREZ,uy URU,MFFW,Sampdoria,2020-2021
961,Aaron Ramsey\ef619b0b,RAMSEY,wls WAL,MF,Juventus,2020-2021
962,Giacomo Raspadori\6e058f06,RASPADORI,it ITA,FWMF,Sassuolo,2020-2021
963,Ante Rebić\536cebe5,REBIC,hr CRO,FW,Milan,2020-2021
964,Arkadiusz Reca\6213fd82,RECA,pl POL,DF,Crotone,2020-2021
965,Franck Ribéry\f61c7c4e,RIBERY,fr FRA,FW,Fiorentina,2020-2021
966,Tomás Rincón\f1cfc209,RINCON,ve VEN,MF,Torino,2020-2021
967,Marko Rog\b6b2b820,ROG,hr CRO,MF,Cagliari,2020-2021
968,Rogério\10e7f486,ROGERIO,br BRA,DF,Sassuolo,2020-2021
969,Alessio Romagnoli\3ead85f9,ROMAGNOLI,it ITA,DF,Milan,2020-2021
970,Cristian Romero\a3d94a58,ROMERO,ar ARG,DF,Atalanta,2020-2021
971,Cristiano Ronaldo\dea698d9,RONALDO,pt POR,FW,Juventus,2020-2021
972,Nicolò Rovella\e58cbfd5,ROVELLA,it ITA,MF,Genoa,2020-2021
973,Amir Rrahmani\4b3e1a38,RRAHMANI,xk KVX,DF,Napoli,2020-2021
974,Daniele Rugani\14b8fcdf,RUGANI,it ITA,DF,Cagliari,2020-2021
975,Alexis Saelemaekers\ee251371,SAELEMAEKERS,be BEL,FW,Milan,2020-2021
976,Antonio Sanabria\0a447501,SANABRIA,py PAR,FW,Torino,2020-2021
977,Alexis Sánchez\2c0f8e9e,SANCHEZ,cl CHI,FW,Inter,2020-2021
978,Nicola Sansone\7eb97a8e,SANSONE,it ITA,FWMF,Bologna,2020-2021
979,Gianluca Scamacca\8790f988,SCAMACCA,it ITA,FW,Genoa,2020-2021
980,Pasquale Schiattarella\bd84fc61,SCHIATTARELLA,it ITA,MF,Benevento,2020-2021
981,Jerdy Schouten\2cfae697,SCHOUTEN,nl NED,MF,Bologna,2020-2021
982,Eldor Shomurodov\57469b2d,SHOMURODOV,uz UZB,FW,Genoa,2020-2021
983,Giovanni Simeone\343c0d52,SIMEONE,ar ARG,FW,Cagliari,2020-2021
984,Wilfried Singo\8b609c34,SINGO,ci CIV,DF,Torino,2020-2021
985,Milan Škriniar\30f5ffa9,SKRINIAR,sk SVK,DF,Inter,2020-2021
986,Chris Smalling\b6964eb6,SMALLING,eng ENG,DF,Roma,2020-2021
987,Roberto Soriano\9d4c45d6,SORIANO,it ITA,MF,Bologna,2020-2021
988,Riccardo Sottil\94816803,SOTTIL,it ITA,MFFW,Cagliari,2020-2021
989,Adama Soumaoro\7b075c75,SOUMAORO,fr FRA,DF,Bologna,2020-2021
990,Leonardo Spinazzola\3626daea,SPINAZZOLA,it ITA,DF,Roma,2020-2021
991,Kevin Strootman\ef2e5e1a,STROOTMAN,nl NED,MF,Genoa,2020-2021
992,Mattias Svanberg\92d83c27,SVANBERG,se SWE,MF,Bologna,2020-2021
993,Adrien Tameze\8da74c05,TAMEZE,cm CMR,MF,Verona,2020-2021
994,Claudio Terzi\5570e6fb,TERZI,it ITA,DF,Spezia,2020-2021
995,Morten Thorsby\d1b49282,THORSBY,no NOR,MF,Sampdoria,2020-2021
996,Jeremy Toljan\a96e5dc0,TOLJAN,de GER,DF,Sassuolo,2020-2021
997,Rafael Tolói\c56dc39e,TOLOI,it ITA,DF,Atalanta,2020-2021
998,Takehiro Tomiyasu\b3af9be1,TOMIYASU,jp JPN,DF,Bologna,2020-2021
999,Fikayo Tomori\7edfbb8a,TOMORI,eng ENG,DF,Milan,2020-2021
1000,Sandro Tonali\0db169ae,TONALI,it ITA,MF,Milan,2020-2021
1001,Lorenzo Tonelli\8cc29864,TONELLI,it ITA,DF,Sampdoria,2020-2021
1002,Alessandro Tuia\26c54058,TUIA,it ITA,DF,Benevento,2020-2021
1003,Lorenzo Venuti\983ff2c7,VENUTI,it ITA,DF,Fiorentina,2020-2021
1004,Daniele Verde\d3298c99,VERDE,it ITA,FW,Spezia,2020-2021
1005,Simone Verdi\0375723e,VERDI,it ITA,MFFW,Torino,2020-2021
1006,Jordan Veretout\4a56052c,VERETOUT,fr FRA,MF,Roma,2020-2021
1007,Valerio Verre\33ecf462,VERRE,it ITA,MF,Sampdoria,2020-2021
1008,Arturo Vidal\67cdbc0e,VIDAL,cl CHI,MF,Inter,2020-2021
1009,Luca Vignali\c1e8e74e,VIGNALI,it ITA,DF,Spezia,2020-2021
1010,Emanuel Vignato\ec5dae45,VIGNATO,it ITA,FWMF,Bologna,2020-2021
1011,Gonzalo Villar\bdc74a8f,VILLAR,es ESP,MF,Roma,2020-2021
1012,Nicolas Viola\45392b06,VIOLA,it ITA,MF,Benevento,2020-2021
1013,Dušan Vlahović\79443529,VLAHOVIC,rs SRB,FW,Fiorentina,2020-2021
1014,Mërgim Vojvoda\be2706c0,VOJVODA,xk KVX,DF,Torino,2020-2021
1015,Miloš Vulić\5944af8f,VULIC,rs SRB,MF,Crotone,2020-2021
1016,Walace\26db8853,WALACE,br BRA,MF,Udinese,2020-2021
1017,Sebastian Walukiewicz\217875a4,WALUKIEWICZ,pl POL,DF,Cagliari,2020-2021
1018,Maya Yoshida\caffaf5a,YOSHIDA,jp JPN,DF,Sampdoria,2020-2021
1019,Ashley Young\be927d03,YOUNG,eng ENG,DF,Inter,2020-2021
1020,Mattia Zaccagni\d85c238b,ZACCAGNI,it ITA,MFFW,Verona,2020-2021
1021,Miha Zajc\83e4643e,ZAJC,si SVN,MF,Genoa,2020-2021
1022,Niccolò Zanellato\741e058f,ZANELLATO,it ITA,MF,Crotone,2020-2021
1023,Gabriele Zappa\ca3db240,ZAPPA,it ITA,DF,Cagliari,2020-2021
1024,Davide Zappacosta\7fe90ccd,ZAPPACOSTA,it ITA,DF,Genoa,2020-2021
1025,Simone Zaza\9592289a,ZAZA,it ITA,FW,Torino,2020-2021
1026,Marvin Zeegelaar\8abd0c03,ZEEGELAAR,nl NED,DF,Udinese,2020-2021
1027,Piotr Zieliński\a5296e55,ZIELINSKI,pl POL,MF,Napoli,2020-2021
